Start with N = 1000, C0 = 10, max_point = 5, feature_case = core
The time for constructing x_order and v_order 593 milliseconds
The time for constructing optimization model is 8907 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 3259            
  Affine conic cons.     : 2000            
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 5123            
  Matrix variables       : 0               
  Integer variables      : 1123            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 0.39, probing time =  0.23
Presolved problem: 7085 variables, 2198 constraints, 15205 non-zeros
Presolved problem: 108 general integer, 977 binary, 6000 continuous
Presolved problem: 2000 cones
Clique table size: 107
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
39516    39826    36895    58       4.0519880000e+02     3.3958273140e+02     16.19       1003.8
39738    40050    37091    128      4.0519880000e+02     3.3958273882e+02     16.19       1008.9
39960    40277    37285    143      4.0519880000e+02     3.3958273882e+02     16.19       1014.0
40181    40501    37466    147      4.0519880000e+02     3.3958273960e+02     16.19       1019.2
40403    40727    37642    157      4.0519880000e+02     3.3958274272e+02     16.19       1024.2
40620    40951    37823    49       4.0519880000e+02     3.3958274272e+02     16.19       1029.3
40841    41176    38018    151      4.0519880000e+02     3.3958274272e+02     16.19       1034.3
41057    41395    38208    172      4.0519880000e+02     3.3958274272e+02     16.19       1038.5
41274    41616    38411    194      4.0519880000e+02     3.3958274272e+02     16.19       1042.9
41493    41837    38614    217      4.0519880000e+02     3.3958274272e+02     16.19       1047.0
41714    42062    38807    240      4.0519880000e+02     3.3958274272e+02     16.19       1051.8
41918    42266    38993    261      4.0519880000e+02     3.3958274272e+02     16.19       1056.7
42142    42492    39207    282      4.0519880000e+02     3.3958274272e+02     16.19       1061.5
42365    42717    39396    300      4.0519880000e+02     3.3958274272e+02     16.19       1066.2
42586    42938    39591    177      4.0519880000e+02     3.3958274272e+02     16.19       1070.3
42802    43159    39781    180      4.0519880000e+02     3.3958278056e+02     16.19       1074.3
43020    43379    39981    188      4.0519880000e+02     3.3958278061e+02     16.19       1078.3
43239    43601    40192    182      4.0519880000e+02     3.3958278061e+02     16.19       1082.3
43457    43822    40400    48       4.0519880000e+02     3.3958278061e+02     16.19       1086.4
43673    44039    40600    182      4.0519880000e+02     3.3958278061e+02     16.19       1090.3
43896    44262    40823    195      4.0519880000e+02     3.3958279055e+02     16.19       1094.5
44120    44486    41047    208      4.0519880000e+02     3.3958279055e+02     16.19       1099.0
44347    44713    41274    231      4.0519880000e+02     3.3958279055e+02     16.19       1103.5
44575    44941    41496    254      4.0519880000e+02     3.3958279055e+02     16.19       1107.5
44803    45171    41712    213      4.0519880000e+02     3.3958279055e+02     16.19       1111.7
45029    45397    41926    218      4.0519880000e+02     3.3958279055e+02     16.19       1115.9
45249    45621    42128    224      4.0519880000e+02     3.3958280708e+02     16.19       1119.7
45474    45848    42313    223      4.0519880000e+02     3.3958282441e+02     16.19       1123.9
45694    46069    42527    224      4.0519880000e+02     3.3958282668e+02     16.19       1127.9
45913    46288    42746    216      4.0519880000e+02     3.3958282668e+02     16.19       1132.1
46099    46472    42928    224      3.7901947849e+02     3.3958282668e+02     10.40       1136.6
46318    46689    43141    220      3.7901947849e+02     3.3958282723e+02     10.40       1140.7
46537    46910    43308    237      3.7901947849e+02     3.3958282723e+02     10.40       1145.0
46755    47130    43486    62       3.7901947849e+02     3.3958282723e+02     10.40       1148.9
