Start with N = 5000, C0 = 10, max_point = 5, feature_case = full
The time for constructing x_order and v_order 530 milliseconds
The time for constructing optimization model is 7741 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 25576           
  Affine conic cons.     : 10000           
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 27789           
  Matrix variables       : 0               
  Integer variables      : 7789            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 2.56, probing time =  2.13
Presolved problem: 37591 variables, 17518 constraints, 234880 non-zeros
Presolved problem: 1 general integer, 7590 binary, 30000 continuous
Presolved problem: 10000 cones
Clique table size: 7518
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
25133    24386    4604     30       2.3109716610e+03     2.2004531033e+03     4.78        5131.9
25378    24631    4647     67       2.3109716610e+03     2.2005723908e+03     4.78        5175.1
25628    24879    4679     26       2.3079581618e+03     2.2007953568e+03     4.64        5219.4
25874    25101    4689     49       2.3079581618e+03     2.2009322057e+03     4.64        5269.6
26088    25312    4717     52       2.3079581618e+03     2.2009868939e+03     4.63        5330.4
26319    25543    4740     18       2.3079581618e+03     2.2010959609e+03     4.63        5371.6
26551    25764    4754     42       2.3079581618e+03     2.2012685574e+03     4.62        5410.5
26780    25983    4785     19       2.3079581618e+03     2.2012910285e+03     4.62        5449.4
27006    26201    4795     29       2.3079581618e+03     2.2013985092e+03     4.62        5518.3
27231    26423    4806     50       2.3079581618e+03     2.2015113243e+03     4.61        5551.1
27460    26644    4823     52       2.3079581618e+03     2.2016816215e+03     4.60        5581.9
27676    26857    4845     25       2.3079581618e+03     2.2018144801e+03     4.60        5623.6
27898    27075    4853     27       2.3079581618e+03     2.2018470215e+03     4.60        5661.2
28119    27295    4876     31       2.3079581618e+03     2.2020133840e+03     4.59        5694.7
28347    27517    4900     38       2.3079581618e+03     2.2021501977e+03     4.58        5736.5
28576    27744    4921     53       2.3079581618e+03     2.2021557964e+03     4.58        5767.1
28804    27969    4951     54       2.3079581618e+03     2.2022978984e+03     4.58        5803.3
29026    28191    4983     48       2.3079581618e+03     2.2023062943e+03     4.58        5846.7
29225    28391    5020     49       2.3079581618e+03     2.2024134248e+03     4.57        5903.3
29445    28609    5052     29       2.3079581618e+03     2.2024945568e+03     4.57        5934.6
29672    28834    5085     39       2.3079581618e+03     2.2024945568e+03     4.57        5976.9
29895    29057    5110     45       2.3079581618e+03     2.2026595309e+03     4.56        6029.9
30114    29276    5143     50       2.3079581618e+03     2.2027451705e+03     4.56        6076.6
